PERIOD_DS,REGION,TRAFFIC_SOURCE,LANDING_PAGE,USERSHIP,TRACK_ON_SALE,AOV,BUY2PI_RATE,BUY2SESSION_RATE,COMMISSION_RATE,ORDER_COUNT,PI2SESSION_RATE,SESSION_COUNT
2022-01-01,AU,CSS,feed,web only,nan,,,0.0,,,0.0,1.0
2022-01-01,AU,CSS,lead,app and web,nan,,0.0,0.0,,0.0,100.0,51.0
2022-01-01,AU,CSS,lead,no on lyst view,nan,208.329534883721,0.727021,0.722394,16.260463911714,43.0,99.363605,5814.0
2022-01-01,AU,CSS,lead,web only,nan,272.869230769231,0.751011,0.749712,14.438868998957,13.0,99.82699,1734.0
2022-01-01,AU,CSS,nan,web only,nan,,,0.0,,,0.0,1.0
2022-01-01,AU,CSS,others,web only,nan,,0.0,0.0,,0.0,20.0,5.0
2022-01-01,AU,CSS,pdp_in_stock,web only,nan,,0.0,0.0,,0.0,7.692308,26.0
2022-01-01,AU,CSS,pdp_out_of_stock,web only,nan,,0.0,0.0,,0.0,9.090909,11.0
2022-01-01,AU,DIRECT,feed,app and web,nan,394.17,2.564103,0.471698,13.097140827562,2.0,18.396226,424.0
2022-01-01,AU,DIRECT,feed,app only,nan,,0.0,0.0,,0.0,5.714286,35.0
2022-01-01,AU,DIRECT,feed,web only,nan,167.566666666667,1.333333,0.140812,15.978714939328,6.0,10.560901,4261.0
2022-01-01,AU,DIRECT,homepage,app and web,nan,253.2,4.255319,1.246106,13.313586097946,4.0,29.283489,321.0
2022-01-01,AU,DIRECT,homepage,web only,nan,803.416,4.361371,0.7431,10.739060876723,15.0,17.038217,1884.0
2022-01-01,AU,DIRECT,lead,app and web,nan,141.365,0.900901,0.02448,12.103420224242,2.0,2.717258,8170.0
2022-01-01,AU,DIRECT,lead,app only,nan,,,0.0,,,0.0,1510.0
2022-01-01,AU,DIRECT,lead,no on lyst view,nan,,0.0,0.0,,0.0,85.386029,1088.0
2022-01-01,AU,DIRECT,lead,web only,nan,368.29,1.315789,0.3367,10.000271525157,1.0,25.589226,297.0
2022-01-01,AU,DIRECT,lead_return,app and web,nan,242.72,9.090909,2.173913,10.629531970995,1.0,23.913043,46.0
2022-01-01,AU,DIRECT,lead_return,no on lyst view,nan,,,0.0,,,0.0,5.0
2022-01-01,AU,DIRECT,lead_return,web only,nan,250.753333333333,8.571429,3.409091,14.18924308085,3.0,39.772727,88.0
2022-01-01,AU,DIRECT,nan,app and web,True,,0.0,0.0,,0.0,100.0,3.0
2022-01-01,AU,DIRECT,nan,app and web,nan,,0.0,0.0,,0.0,23.94822,309.0
2022-01-01,AU,DIRECT,nan,app only,nan,124.03,4.166667,0.249377,18.003708780134,1.0,5.985037,401.0
2022-01-01,AU,DIRECT,nan,web only,nan,,0.0,0.0,,0.0,34.285714,35.0
2022-01-01,AU,DIRECT,onboarding,app and web,nan,196.145,3.0,0.3125,13.859644650641,4.0,10.416667,960.0
2022-01-01,AU,DIRECT,onboarding,app only,nan,79.61,1.886792,0.053908,14.998115814596,1.0,2.857143,1855.0
2022-01-01,AU,DIRECT,others,app and web,nan,330.699453781513,3.772314,0.659405,14.763398739646,238.0,17.48013,33970.0
2022-01-01,AU,DIRECT,others,app only,nan,176.696666666667,2.425876,0.157701,12.674262861024,18.0,6.500789,11414.0
2022-01-01,AU,DIRECT,others,web only,nan,139.38,1.176471,0.080257,18.976897689769,1.0,6.82183,1246.0
2022-01-01,AU,DIRECT,pdp_in_stock,app and web,nan,478.415,8.333333,0.643087,23.394960442294,2.0,7.717042,311.0
2022-01-01,AU,DIRECT,pdp_in_stock,web only,nan,142.567777777778,3.381643,0.132979,17.904934105416,9.0,3.932371,5264.0
2022-01-01,AU,DIRECT,pdp_out_of_stock,web only,nan,26.455,0.293686,0.01866,11.264411264411,2.0,6.353797,10718.0
2022-01-01,AU,ORGANIC,feed,app and web,nan,558.566153846154,2.407407,0.288953,13.678429385129,13.0,12.002667,4499.0
2022-01-01,AU,ORGANIC,feed,app only,nan,203.185,6.25,0.787402,12.734699904028,2.0,12.598425,127.0
2022-01-01,AU,ORGANIC,feed,web only,nan,318.102226277372,1.709136,0.209742,17.151971414414,274.0,12.271787,104891.0
2022-01-01,AU,ORGANIC,homepage,app and web,nan,,0.0,0.0,,0.0,15.454545,220.0
2022-01-01,AU,ORGANIC,homepage,web only,nan,222.85,1.595745,0.291545,21.389948395782,4.0,18.270165,1029.0
2022-01-01,AU,ORGANIC,lead,app and web,nan,360.936666666667,0.631622,0.602527,20.486176119205,33.0,95.393586,5145.0
2022-01-01,AU,ORGANIC,lead,app only,nan,,0.0,0.0,,0.0,97.902098,143.0
2022-01-01,AU,ORGANIC,lead,no on lyst view,nan,,0.0,0.0,,0.0,89.361702,47.0
2022-01-01,AU,ORGANIC,lead,web only,nan,194.152131147541,1.459391,1.427685,15.81926628434,61.0,97.827436,3222.0
2022-01-01,AU,ORGANIC,lead_return,app and web,nan,79.75,3.846154,0.632911,25.003134796238,1.0,16.455696,158.0
2022-01-01,AU,ORGANIC,lead_return,no on lyst view,nan,,0.0,0.0,,0.0,11.111111,9.0
2022-01-01,AU,ORGANIC,lead_return,web only,nan,,0.0,0.0,,0.0,26.501767,283.0
2022-01-01,AU,ORGANIC,nan,app and web,False,71.76,1.612903,1.612903,10.344667409885,3.0,100.0,186.0
2022-01-01,AU,ORGANIC,nan,app and web,True,120.09,0.40568,0.40568,20.984261803647,2.0,100.0,493.0
2022-01-01,AU,ORGANIC,nan,app and web,nan,213.861176470588,2.591093,0.648298,12.337717705823,34.0,25.020259,4936.0
2022-01-01,AU,ORGANIC,nan,app only,True,48.55,3.225806,3.225806,25.005149330587,1.0,100.0,31.0
2022-01-01,AU,ORGANIC,nan,app only,nan,163.713,2.093023,0.141532,11.153665255661,10.0,6.76207,6359.0
2022-01-01,AU,ORGANIC,nan,no on lyst view,False,,0.0,0.0,,0.0,100.0,30.0
2022-01-01,AU,ORGANIC,nan,no on lyst view,True,,0.0,0.0,,0.0,100.0,54.0
2022-01-01,AU,ORGANIC,nan,no on lyst view,nan,113.937,2.0,1.428571,13.497810193352,10.0,71.428571,700.0
