PERIOD_DS,REGION,TRAFFIC_SOURCE,LANDING_PAGE,USERSHIP,AOV,CONVERSION_RATE,BUY2SESSION_RATE,COMMISSION_RATE,ORDER_COUNT,LEAD_GEN_RATE,SESSION_COUNT,PI_COUNT
2022-01-01,AU,CSS,feed,web only,,,0.0,,,0.0,1.0,0.0
2022-01-01,AU,CSS,lead,app and web,,0.0,0.0,,0.0,100.0,51.0,51.0
2022-01-01,AU,CSS,lead,no on lyst view,208.0,1.0,1.0,16.0,43.0,99.0,5814.0,5755.86
2022-01-01,AU,CSS,lead,web only,273.0,1.0,1.0,14.0,13.0,100.0,1734.0,1734.0
2022-01-01,AU,CSS,nan,web only,,,0.0,,,0.0,1.0,0.0
2022-01-01,AU,CSS,others,web only,,0.0,0.0,,0.0,20.0,5.0,1.0
2022-01-01,AU,CSS,pdp_in_stock,web only,,0.0,0.0,,0.0,8.0,26.0,2.08
2022-01-01,AU,CSS,pdp_out_of_stock,web only,,0.0,0.0,,0.0,9.0,11.0,0.99
2022-01-01,AU,DIRECT,feed,app and web,394.0,3.0,0.0,13.0,2.0,18.0,425.0,76.5
2022-01-01,AU,DIRECT,feed,app only,,0.0,0.0,,0.0,6.0,34.0,2.04
2022-01-01,AU,DIRECT,feed,web only,168.0,1.0,0.0,16.0,6.0,11.0,4261.0,468.71
2022-01-01,AU,DIRECT,homepage,app and web,253.0,4.0,1.0,13.0,4.0,29.0,321.0,93.09
2022-01-01,AU,DIRECT,homepage,web only,803.0,4.0,1.0,11.0,15.0,17.0,1884.0,320.28
2022-01-01,AU,DIRECT,lead,app and web,141.0,1.0,0.0,12.0,2.0,3.0,8167.0,245.01
2022-01-01,AU,DIRECT,lead,app only,,,0.0,,,0.0,1510.0,0.0
2022-01-01,AU,DIRECT,lead,no on lyst view,,0.0,0.0,,0.0,85.0,1088.0,924.8
2022-01-01,AU,DIRECT,lead,web only,368.0,1.0,0.0,10.0,1.0,26.0,298.0,77.48
2022-01-01,AU,DIRECT,lead_return,app and web,243.0,9.0,2.0,11.0,1.0,24.0,46.0,11.04
2022-01-01,AU,DIRECT,lead_return,no on lyst view,,,0.0,,,0.0,5.0,0.0
2022-01-01,AU,DIRECT,lead_return,web only,251.0,9.0,3.0,14.0,3.0,40.0,88.0,35.2
2022-01-01,AU,DIRECT,nan,app and web,,0.0,0.0,,0.0,23.0,319.0,73.37
2022-01-01,AU,DIRECT,nan,app only,124.0,4.0,0.0,18.0,1.0,6.0,405.0,24.3
2022-01-01,AU,DIRECT,nan,web only,,0.0,0.0,,0.0,34.0,35.0,11.9
2022-01-01,AU,DIRECT,onboarding,app and web,196.0,3.0,0.0,14.0,4.0,10.0,964.0,96.4
2022-01-01,AU,DIRECT,onboarding,app only,80.0,2.0,0.0,15.0,1.0,3.0,1848.0,55.44
2022-01-01,AU,DIRECT,others,app and web,331.0,4.0,1.0,15.0,238.0,17.0,33986.0,5777.62
2022-01-01,AU,DIRECT,others,app only,177.0,2.0,0.0,13.0,18.0,7.0,11416.0,799.12
2022-01-01,AU,DIRECT,others,web only,139.0,1.0,0.0,19.0,1.0,7.0,1246.0,87.22
2022-01-01,AU,DIRECT,pdp_in_stock,app and web,478.0,8.0,1.0,23.0,2.0,8.0,311.0,24.88
2022-01-01,AU,DIRECT,pdp_in_stock,web only,143.0,3.0,0.0,18.0,9.0,4.0,5264.0,210.56
2022-01-01,AU,DIRECT,pdp_out_of_stock,web only,26.0,0.0,0.0,11.0,2.0,6.0,10718.0,643.08
2022-01-01,AU,ORGANIC,feed,app and web,559.0,2.0,0.0,14.0,13.0,12.0,4498.0,539.76
2022-01-01,AU,ORGANIC,feed,app only,203.0,6.0,1.0,13.0,2.0,13.0,127.0,16.51
2022-01-01,AU,ORGANIC,feed,web only,318.0,2.0,0.0,17.0,274.0,12.0,104891.0,12586.92
2022-01-01,AU,ORGANIC,homepage,app and web,,0.0,0.0,,0.0,15.0,220.0,33.0
2022-01-01,AU,ORGANIC,homepage,web only,223.0,2.0,0.0,21.0,4.0,18.0,1029.0,185.22
2022-01-01,AU,ORGANIC,lead,app and web,361.0,1.0,1.0,20.0,33.0,95.0,5144.0,4886.8
2022-01-01,AU,ORGANIC,lead,app only,,0.0,0.0,,0.0,98.0,143.0,140.14
2022-01-01,AU,ORGANIC,lead,no on lyst view,,0.0,0.0,,0.0,89.0,47.0,41.83
2022-01-01,AU,ORGANIC,lead,web only,194.0,1.0,1.0,16.0,61.0,98.0,3222.0,3157.56
2022-01-01,AU,ORGANIC,lead_return,app and web,80.0,4.0,1.0,25.0,1.0,16.0,158.0,25.28
2022-01-01,AU,ORGANIC,lead_return,no on lyst view,,0.0,0.0,,0.0,11.0,9.0,0.99
2022-01-01,AU,ORGANIC,lead_return,web only,,0.0,0.0,,0.0,27.0,283.0,76.41
2022-01-01,AU,ORGANIC,nan,app and web,184.0,2.0,1.0,13.0,38.0,34.0,5623.0,1911.82
2022-01-01,AU,ORGANIC,nan,app only,192.0,3.0,0.0,11.0,14.0,8.0,6426.0,514.08
2022-01-01,AU,ORGANIC,nan,no on lyst view,114.0,2.0,1.0,13.0,10.0,74.0,784.0,580.16
2022-01-01,AU,ORGANIC,nan,web only,238.0,2.0,1.0,14.0,62.0,45.0,6477.0,2914.65
2022-01-01,AU,ORGANIC,onboarding,app and web,240.0,4.0,1.0,15.0,7.0,23.0,686.0,157.78
2022-01-01,AU,ORGANIC,onboarding,app only,105.0,2.0,0.0,10.0,1.0,7.0,836.0,58.52
2022-01-01,AU,ORGANIC,others,app and web,263.0,4.0,1.0,14.0,107.0,16.0,14516.0,2322.56
2022-01-01,AU,ORGANIC,others,app only,317.0,2.0,0.0,17.0,4.0,5.0,3052.0,152.6
2022-01-01,AU,ORGANIC,others,web only,546.0,2.0,0.0,11.0,9.0,3.0,17194.0,515.82
2022-01-01,AU,ORGANIC,pdp_in_stock,app and web,334.0,2.0,0.0,8.0,3.0,23.0,607.0,139.61
2022-01-01,AU,ORGANIC,pdp_in_stock,web only,258.0,4.0,1.0,15.0,149.0,26.0,14143.0,3677.18
