PERIOD_DS,REGION,TRAFFIC_SOURCE,LANDING_PAGE,USERSHIP,AOV,CONVERSION_RATE,BUY2SESSION_RATE,COMMISSION_RATE,ORDER_COUNT,LEAD_GEN_RATE,SESSION_COUNT,PI_COUNT
2022-01-01,AU,CSS,feed,web only,,,0.0,,,0.0,5.0,0.0
2022-01-01,AU,CSS,lead,app and web,813.0,2.0,2.0,16.0,13.0,100.0,611.0,611.0
2022-01-01,AU,CSS,lead,no on lyst view,182.0,1.0,1.0,15.0,711.0,99.0,76816.0,76047.84
2022-01-01,AU,CSS,lead,web only,330.0,1.0,1.0,15.0,262.0,100.0,19847.0,19847.0
2022-01-01,AU,CSS,nan,web only,,0.0,0.0,,0.0,80.0,5.0,4.0
2022-01-01,AU,CSS,others,web only,,0.0,0.0,,0.0,5.0,580.0,29.0
2022-01-01,AU,CSS,pdp_in_stock,web only,140.0,3.0,0.0,11.0,2.0,12.0,504.0,60.48
2022-01-01,AU,CSS,pdp_out_of_stock,web only,,0.0,0.0,,0.0,9.0,122.0,10.98
2022-01-01,AU,DIRECT,feed,app and web,301.0,4.0,1.0,14.0,73.0,18.0,10281.0,1850.58
2022-01-01,AU,DIRECT,feed,app only,138.0,7.0,1.0,17.0,5.0,8.0,901.0,72.08
2022-01-01,AU,DIRECT,feed,web only,245.0,2.0,0.0,15.0,182.0,12.0,80151.0,9618.12
2022-01-01,AU,DIRECT,homepage,app and web,301.0,3.0,1.0,14.0,33.0,32.0,2848.0,911.36
2022-01-01,AU,DIRECT,homepage,web only,687.0,4.0,1.0,14.0,216.0,19.0,23410.0,4447.9
2022-01-01,AU,DIRECT,lead,app and web,319.0,3.0,0.0,16.0,111.0,5.0,86779.0,4338.95
2022-01-01,AU,DIRECT,lead,app only,,0.0,0.0,,0.0,0.0,7632.0,0.0
2022-01-01,AU,DIRECT,lead,no on lyst view,271.0,0.0,0.0,9.0,5.0,80.0,7011.0,5608.8
2022-01-01,AU,DIRECT,lead,web only,330.0,2.0,1.0,15.0,31.0,40.0,3518.0,1407.2
2022-01-01,AU,DIRECT,lead_return,app and web,163.0,4.0,1.0,12.0,4.0,27.0,372.0,100.44
2022-01-01,AU,DIRECT,lead_return,no on lyst view,,0.0,0.0,,0.0,3.0,38.0,1.14
2022-01-01,AU,DIRECT,lead_return,web only,403.0,5.0,2.0,17.0,33.0,39.0,1547.0,603.33
2022-01-01,AU,DIRECT,nan,app and web,363.0,4.0,1.0,15.0,289.0,18.0,42654.0,7677.72
2022-01-01,AU,DIRECT,nan,app only,337.0,3.0,0.0,14.0,25.0,6.0,13726.0,823.56
2022-01-01,AU,DIRECT,nan,no on lyst view,,0.0,0.0,,0.0,100.0,1.0,1.0
2022-01-01,AU,DIRECT,nan,web only,164.0,2.0,1.0,14.0,2.0,38.0,334.0,126.92
2022-01-01,AU,DIRECT,onboarding,app and web,207.0,4.0,0.0,16.0,38.0,10.0,9329.0,932.9
2022-01-01,AU,DIRECT,onboarding,app only,264.0,3.0,0.0,13.0,8.0,2.0,13728.0,274.56
2022-01-01,AU,DIRECT,others,app and web,323.0,4.0,1.0,14.0,2282.0,17.0,328733.0,55884.61
2022-01-01,AU,DIRECT,others,app only,249.0,4.0,0.0,15.0,188.0,6.0,78132.0,4687.92
2022-01-01,AU,DIRECT,others,web only,331.0,2.0,0.0,15.0,39.0,6.0,24693.0,1481.58
2022-01-01,AU,DIRECT,pdp_in_stock,app and web,370.0,3.0,0.0,19.0,7.0,11.0,2509.0,275.99
2022-01-01,AU,DIRECT,pdp_in_stock,web only,279.0,4.0,0.0,15.0,131.0,3.0,95886.0,2876.58
2022-01-01,AU,DIRECT,pdp_out_of_stock,web only,280.0,1.0,0.0,15.0,60.0,17.0,52124.0,8861.08
2022-01-01,AU,ORGANIC,feed,app and web,327.0,3.0,0.0,15.0,390.0,14.0,85626.0,11987.64
2022-01-01,AU,ORGANIC,feed,app only,307.0,4.0,0.0,13.0,9.0,5.0,4109.0,205.45
2022-01-01,AU,ORGANIC,feed,web only,257.0,2.0,0.0,15.0,6159.0,16.0,1849172.0,295867.52
2022-01-01,AU,ORGANIC,homepage,app and web,488.0,5.0,1.0,17.0,25.0,20.0,2309.0,461.8
2022-01-01,AU,ORGANIC,homepage,web only,293.0,3.0,1.0,14.0,91.0,25.0,9749.0,2437.25
2022-01-01,AU,ORGANIC,lead,app and web,344.0,1.0,1.0,15.0,272.0,88.0,36220.0,31873.6
2022-01-01,AU,ORGANIC,lead,app only,432.0,0.0,0.0,15.0,3.0,91.0,665.0,605.15
2022-01-01,AU,ORGANIC,lead,no on lyst view,293.0,1.0,1.0,15.0,7.0,91.0,500.0,455.0
2022-01-01,AU,ORGANIC,lead,web only,310.0,1.0,1.0,15.0,555.0,98.0,35532.0,34821.36
2022-01-01,AU,ORGANIC,lead_return,app and web,391.0,2.0,0.0,12.0,5.0,17.0,1472.0,250.24
2022-01-01,AU,ORGANIC,lead_return,no on lyst view,,0.0,0.0,,0.0,10.0,99.0,9.9
2022-01-01,AU,ORGANIC,lead_return,web only,385.0,3.0,1.0,15.0,42.0,28.0,4638.0,1298.64
2022-01-01,AU,ORGANIC,nan,app and web,305.0,3.0,1.0,15.0,895.0,38.0,69238.0,26310.44
2022-01-01,AU,ORGANIC,nan,app only,334.0,2.0,0.0,14.0,55.0,9.0,24245.0,2182.05
2022-01-01,AU,ORGANIC,nan,no on lyst view,165.0,1.0,1.0,14.0,76.0,78.0,8670.0,6762.6
2022-01-01,AU,ORGANIC,nan,web only,289.0,2.0,1.0,14.0,801.0,46.0,81551.0,37513.46
2022-01-01,AU,ORGANIC,onboarding,app and web,269.0,5.0,1.0,16.0,61.0,19.0,6817.0,1295.23
2022-01-01,AU,ORGANIC,onboarding,app only,112.0,1.0,0.0,13.0,3.0,6.0,3752.0,225.12
2022-01-01,AU,ORGANIC,others,app and web,306.0,3.0,1.0,14.0,858.0,16.0,138866.0,22218.56
2022-01-01,AU,ORGANIC,others,app only,224.0,4.0,0.0,15.0,45.0,7.0,14345.0,1004.15
2022-01-01,AU,ORGANIC,others,web only,289.0,2.0,0.0,14.0,325.0,6.0,259012.0,15540.72
2022-01-01,AU,ORGANIC,pdp_in_stock,app and web,424.0,3.0,1.0,15.0,57.0,20.0,8133.0,1626.6
2022-01-01,AU,ORGANIC,pdp_in_stock,web only,288.0,3.0,1.0,15.0,1891.0,23.0,214366.0,49304.18
2022-01-01,AU,ORGANIC,pdp_out_of_stock,app and web,355.0,1.0,1.0,14.0,69.0,47.0,8686.0,4082.42
2022-01-01,AU,ORGANIC,pdp_out_of_stock,web only,289.0,1.0,0.0,14.0,2425.0,41.0,606416.0,248630.56
2022-01-01,AU,PAID,feed,app and web,318.0,3.0,1.0,15.0,135.0,20.0,18323.0,3664.6
2022-01-01,AU,PAID,feed,app only,144.0,13.0,0.0,16.0,1.0,3.0,241.0,7.23
2022-01-01,AU,PAID,feed,web only,268.0,2.0,0.0,15.0,2836.0,21.0,742383.0,155900.43
2022-01-01,AU,PAID,homepage,app and web,842.0,3.0,1.0,18.0,16.0,30.0,1719.0,515.7
2022-01-01,AU,PAID,homepage,web only,280.0,3.0,1.0,15.0,153.0,28.0,14856.0,4159.68
